gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,emp,ni,revt,costat
001704,2014-10-31,2014,INDL,C,D,STD,AMAT,USD,13174.0000,14.9500,1072.0000,9072.0000,A
001704,2015-10-31,2015,INDL,C,D,STD,AMAT,USD,15308.0000,15.5000,1377.0000,9659.0000,A
001704,2016-10-31,2016,INDL,C,D,STD,AMAT,USD,14588.0000,16.7000,1721.0000,10825.0000,A
001704,2017-10-31,2017,INDL,C,D,STD,AMAT,USD,19419.0000,18.4000,3434.0000,14537.0000,A
001704,2018-10-31,2018,INDL,C,D,STD,AMAT,USD,17773.0000,21.0000,3313.0000,17253.0000,A
001704,2019-10-31,2019,INDL,C,D,STD,AMAT,USD,19024.0000,22.0000,2706.0000,14608.0000,A
001722,2009-06-30,2009,INDL,C,D,STD,ADM,USD,31585.0000,28.2000,1707.0000,69198.0000,A
001722,2010-06-30,2010,INDL,C,D,STD,ADM,USD,31548.0000,29.3000,1930.0000,61682.0000,A
001722,2011-06-30,2011,INDL,C,D,STD,ADM,USD,42193.0000,30.7000,2036.0000,80676.0000,A
001722,2012-06-30,2012,INDL,C,D,STD,ADM,USD,41553.0000,30.0000,1223.0000,89038.0000,A
001722,2013-12-31,2013,INDL,C,D,STD,ADM,USD,43752.0000,31.1000,1342.0000,89804.0000,A
001722,2014-12-31,2014,INDL,C,D,STD,ADM,USD,44027.0000,33.9000,2248.0000,81201.0000,A
001722,2015-12-31,2015,INDL,C,D,STD,ADM,USD,40157.0000,32.3000,1849.0000,67702.0000,A
001722,2016-12-31,2016,INDL,C,D,STD,ADM,USD,39769.0000,31.8000,1279.0000,62346.0000,A
001722,2017-12-31,2017,INDL,C,D,STD,ADM,USD,39963.0000,31.3000,1595.0000,60828.0000,A
001722,2018-12-31,2018,INDL,C,D,STD,ADM,USD,40833.0000,31.6000,1810.0000,64341.0000,A
001722,2019-12-31,2019,INDL,C,D,STD,ADM,USD,43997.0000,38.1000,1379.0000,64656.0000,A
001878,2009-01-31,2008,INDL,C,D,STD,ADSK,USD,2420.7000,7.8000,183.6000,2315.2000,A
001878,2010-01-31,2009,INDL,C,D,STD,ADSK,USD,2447.2000,6.8000,58.0000,1713.7000,A
001878,2011-01-31,2010,INDL,C,D,STD,ADSK,USD,2787.6000,6.8000,212.0000,1951.8000,A
001878,2012-01-31,2011,INDL,C,D,STD,ADSK,USD,3227.8000,7.5000,285.3000,2215.6000,A
001878,2013-01-31,2012,INDL,C,D,STD,ADSK,USD,4308.4000,7.3000,247.4000,2312.2000,A
001878,2014-01-31,2013,INDL,C,D,STD,ADSK,USD,4595.0000,7.6000,228.8000,2273.9000,A
001878,2015-01-31,2014,INDL,C,D,STD,ADSK,USD,4913.8000,8.8230,81.8000,2512.2000,A
001878,2016-01-31,2015,INDL,C,D,STD,ADSK,USD,5515.3000,9.5000,-330.5000,2504.1000,A
001878,2017-01-31,2016,INDL,C,D,STD,ADSK,USD,4798.1000,9.0000,-582.1000,2031.0000,A
001878,2018-01-31,2017,INDL,C,D,STD,ADSK,USD,4113.6000,8.8000,-566.9000,2056.6000,A
001878,2019-01-31,2018,INDL,C,D,STD,ADSK,USD,4729.2000,9.6000,-80.8000,2569.8000,A
001878,2020-01-31,2019,INDL,C,D,STD,ADSK,USD,6179.3000,10.1000,214.5000,3274.3000,A
001891,2009-06-30,2009,INDL,C,D,STD,ADP,USD,25351.7000,45.0000,1332.6000,8867.1000,A
001891,2010-06-30,2010,INDL,C,D,STD,ADP,USD,26862.2000,47.0000,1211.4000,8927.7000,A
001891,2011-06-30,2011,INDL,C,D,STD,ADP,USD,34238.3000,51.0000,1254.2000,9879.5000,A
001891,2012-06-30,2012,INDL,C,D,STD,ADP,USD,30815.5000,57.0000,1388.5000,10665.2000,A
001891,2013-06-30,2013,INDL,C,D,STD,ADP,USD,32268.1000,60.0000,1405.8000,11310.1000,A
001891,2014-06-30,2014,INDL,C,D,STD,ADP,USD,32051.7000,61.0000,1515.9000,12206.5000,A
001891,2015-06-30,2015,INDL,C,D,STD,ADP,USD,33110.5000,55.0000,1452.5000,10938.5000,A
001891,2016-06-30,2016,INDL,C,D,STD,ADP,USD,43670.0000,57.0000,1492.5000,11667.8000,A
001891,2017-06-30,2017,INDL,C,D,STD,ADP,USD,37180.0000,58.0000,1733.4000,12379.8000,A
001891,2018-06-30,2018,INDL,C,D,STD,ADP,USD,37088.7000,57.0000,1620.8000,13325.8000,A
001891,2019-06-30,2019,INDL,C,D,STD,ADP,USD,41887.7000,58.0000,2292.8000,14175.2000,A
001913,2009-12-31,2009,INDL,C,D,STD,AVY,USD,5002.8000,31.3000,-746.7000,5952.7000,A
001913,2010-12-31,2010,INDL,C,D,STD,AVY,USD,5099.4000,32.1000,316.9000,6512.7000,A
001913,2011-12-31,2011,INDL,C,D,STD,AVY,USD,4972.7000,30.4000,190.1000,6026.3000,A
