PCOMMFEES,PEXECDIRPD,PDIRPENSN,ANNDIRRET,DIRMTGFEE,NUMMTGS,DIRSTK,DIRSTKAD,DIROPT,DIROPTAD,SALES,SALECHG,SALE3LS,SALE5LS,OIBD,OIBDCHG,OIBD3LS,OIBD5LS,PRETAX,NIBEX,NI,NICHG,NI3LS,NI5LS,NIAC,EPSEX,EPSEXCHG,EPSEX3LS,EPSEX5LS,EPSIN,EPSINCHG,COMMEQ,SEQ,ROEPER,ROEAVG,ASSETS,ASSETCHG,ROA,MKTVAL,DIVYIELD,PRCCF,PRCC,SHRSOUT,TRS1YR,TRS3YR,TRS5YR,EMPL,AJEX,BS_VOLATILITY,BS_YIELD,SRCDATE,GVKEY,YEAR,FYR,NAICS,CONAME,CUSIP,TICKER,SIC
1,0,0,20,1,5,0,0,3,9,2134.659,29.508,20.283,14.084,729.123,51.863,40.109,33.059,458.969,305.266,305.266,33.432,28.081,45.978,294.916,3.02,31.304,25.441,46.998,3.02,31.304,1735.231,1735.265,16.996,19.104,2445.702,26.771,12.059,2373.498,0,24.875,24.875,47.709,40.141,12.437,25.864,11.793,2,0.625,0,1995-03-31,001161,1994,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,20,1,7,0,0,3,9,2429.724,13.823,17.066,18.063,610.778,-16.231,13.093,51.253,413.259,300.521,300.521,-1.554,7.044,,300.511,2.85,-5.629,3.507,,2.85,-5.629,2100.128,2100.128,14.309,15.671,3031.268,23.943,9.914,1724.564,0.061,16.5,16.5,52.26,-33.65,-3.074,27.622,12.73,2,0.601,0,1996-03-21,001161,1995,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,20,1,8,0,0,3,9,1953.019,-19.62,5.818,9.748,88.03,-85.587,-43.19,-19.787,-153.958,-68.95,-68.95,,,,-68.95,-0.51,,,,-0.51,,2021.878,2021.878,-3.41,-3.345,3145.283,3.761,-2.192,3542.685,0,25.75,25.75,68.79,56.061,13.214,8.037,12.2,2,0.565,0.02,1997-03-20,001161,1996,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,25,1.5,7,0,0,5,10,2356.375,20.653,3.349,9.244,303.812,245.123,-25.309,-6.372,-76.245,-21.09,-21.09,,,,-21.09,-0.15,,,,-0.15,,2029.543,2029.543,-1.039,-1.041,3515.271,11.763,-0.6,2522.683,0,17.75,17.75,71.062,-31.068,-10.631,-0.412,12.8,2,0.524,0.02,1998-03-25,001161,1997,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,25,1.5,7,0,0,5,10,2542.141,7.884,1.519,9.052,303.879,0.022,-20.761,-8.742,-195.838,-103.96,-103.96,,,,-103.96,-0.72,,,,-0.72,,2005.049,2005.049,-5.185,-5.153,4252.968,20.985,-2.444,4198.475,0,29,29,72.739,63.38,20.681,10.322,13.8,2,0.56,0.02,1999-03-29,001161,1998,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,25,1.5,8,0,0,5,10,2857.604,12.409,13.527,6.007,232.834,-23.379,38.295,-20.412,78.414,-88.936,-88.936,,,,-88.936,-0.6,,,,-0.6,,1979.273,1979.273,-4.493,-4.464,4377.698,2.933,-2.032,4276.094,0,28.938,28.938,74.328,-0.216,3.967,3.077,13.387,2,0.585,0,2000-03-21,001161,1999,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,25,1.5,10,0,0,10,20,4644.187,62.52,25.378,13.834,1467.806,530.409,69.052,19.167,1262.938,1006.07,983.026,,,27.336,983.026,3.25,,,17.927,3.18,,3171.667,3171.667,31.721,39.064,5767.735,31.753,17.443,4329.003,0,13.813,13.813,314.137,-4.536,15.887,10.857,14.696,1,0.675,0,2001-03-20,001161,2000,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,29.532,2,7,0,0,12,18,3891.754,-16.202,15.252,14.786,660.815,-54.979,29.557,49.655,-75.044,-60.581,-60.581,,,,-60.581,-0.18,,,,-0.18,,3555.055,3555.055,-1.704,-1.801,5647.242,-2.089,-1.073,5389.656,0,15.86,15.86,340.503,14.824,3.033,4.258,14.415,1,0.792,0,2002-03-08,001161,2001,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,30,2,9,0,0,25,25,2697.029,-30.699,-1.909,2.737,-96.642,,,,-1258.426,-1303.012,-1303.012,,,,-1303.012,-3.81,,,,-3.81,,2467.265,2467.265,-52.812,-43.273,5619.181,-0.497,-23.189,2225.489,0,6.46,6.46,344.528,-59.269,-23.569,-6.155,12.146,1,0.84,0,2003-03-25,001161,2002,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,30,2,13,0,0,25,25,3519.168,30.483,-8.832,6.721,748.386,,-20.111,19.753,-316.315,-274.49,-274.49,,,,-274.49,-0.79,,,,-0.79,,2438.31,2438.31,-11.257,-11.191,7094.345,26.252,-3.869,5194.006,0,14.9,14.9,350.253,130.65,2.558,0.546,14.3,1,0.836,0,2004-03-15,001161,2003,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,30,2,11,0,0,25,25,5001.435,42.12,8.722,11.846,1451.517,93.953,29.991,44.197,78.331,91.156,91.156,,,,91.156,0.25,,,,0.25,,3010.053,3010.053,3.028,3.346,7844.21,10.57,1.162,8082.837,0,22.02,22.02,391.739,47.785,11.559,8.762,15.9,1,0.82,0,2005-03-10,001161,2004,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,65,2,10,0,0,25,50,5847.577,16.918,29.429,4.716,1466.999,1.067,,-0.011,33.69,165.483,165.483,81.538,,-30.301,165.483,0.41,64,,-33.903,0.41,64,3351.837,3351.837,4.937,5.202,7287.779,-7.094,2.271,12364.511,0,30.6,30.6,435.527,38.965,67.943,17.244,9.86,1,0.754,0,2006-03-23,001161,2005,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
