,tic,fyear
1272,KMB,2017
1273,KMB,2018
1274,KMB,2019
1275,KMB,2020
1276,KR,2010
1277,KR,2011
1278,KR,2012
1279,KR,2013
1280,KR,2014
1281,KR,2015
1282,KR,2016
1283,KR,2017
1284,KR,2018
1285,KR,2019
1286,KR,2020
1287,LRCX,2011
1288,LRCX,2012
1289,LRCX,2013
1290,LRCX,2014
1291,LRCX,2015
1292,LRCX,2016
1293,LRCX,2017
1294,LRCX,2018
1295,LRCX,2019
1296,LRCX,2020
1297,LEN,2011
1298,LEN,2012
1299,LEN,2013
1300,LEN,2014
1301,LEN,2015
1302,LEN,2016
1303,LEN,2017
1304,LEN,2018
1305,LEN,2019
1306,LEN,2020
1307,LLY,2011
1308,LLY,2012
1309,LLY,2013
1310,LLY,2014
1311,LLY,2015
1312,LLY,2016
1313,LLY,2017
1314,LLY,2018
1315,LLY,2019
1316,LLY,2020
1317,BBWI,2010
1318,BBWI,2011
1319,BBWI,2012
1320,BBWI,2013
1321,BBWI,2014
1322,BBWI,2015
1323,BBWI,2016
1324,BBWI,2017
1325,BBWI,2018
1326,BBWI,2019
1327,BBWI,2020
1328,LNC,2011
1329,LNC,2012
1330,LNC,2013
1331,LNC,2014
1332,LNC,2015
1333,LNC,2016
1334,LNC,2017
1335,LNC,2018
1336,LNC,2019
1337,LNC,2020
1338,LMT,2011
1339,LMT,2012
1340,LMT,2013
1341,LMT,2014
1342,LMT,2015
1343,LMT,2016
1344,LMT,2017
1345,LMT,2018
1346,LMT,2019
1347,LMT,2020
1348,L,2011
1349,L,2012
1350,L,2013
1351,L,2014
1352,L,2015
1353,L,2016
1354,L,2017
1355,L,2018
1356,L,2019
1357,L,2020
1358,LOW,2010
1359,LOW,2011
1360,LOW,2012
1361,LOW,2013
1362,LOW,2014
1363,LOW,2015
1364,LOW,2016
1365,LOW,2017
1366,LOW,2018
1367,LOW,2019
1368,LOW,2020
1369,MRO,2011
1370,MRO,2012
1371,MRO,2013
1372,MRO,2014
1373,MRO,2015
1374,MRO,2016
1375,MRO,2017
1376,MRO,2018
1377,MRO,2019
1378,MRO,2020
1379,HST,2011
1380,HST,2012
1381,HST,2013
1382,HST,2014
1383,HST,2015
1384,HST,2016
