,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,SIZE_CATEGORY,signature_index
72,1327,SWKS,207.535,0.0,0.0,65.0,142.535,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2012,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,4530.4938,Medium,065663699fa1d6c05a2c6176b2ce9eee
73,1327,SWKS,238.911,0.0,0.0,51.25,187.661,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2013,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,4667.436,Medium,f63df56993b64511b1f6db62ca835bea
74,1327,SWKS,262.455,1.483,0.0,76.875,184.097,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2014,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,10983.06,Big,d92b52320c54fc81b7b197dfb58f20eb
75,1327,SWKS,264.662,2.681,0.0,79.375,182.606,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2015,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,16025.163,Big,955f79a331deaac4015db5b5b136110f
76,1327,SWKS,273.435,5.198,0.0,89.0,179.237,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2016,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,14078.286,Big,846c7cc8bff2c936cc04399b8e9ad2ac
77,1327,SWKS,296.18,0.0,0.0,92.0,204.18,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2017,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,18657.89,Big,a98e156ae8823ead9c682a4ccf24b5c1
78,1327,SWKS,297.361,0.0,0.0,95.75,201.611,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2018,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,16091.954,Big,05ef932bf8544d9bafc81858505f8f6f
79,1327,SWKS,196.558,0.0,0.0,7.609,188.949,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2019,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,13480.425,Big,ef47be1ff8472629500e784675c8acb6
80,1380,HES,269.061,0.186,0.0,119.0,149.875,0.0,SP,42809H10,HESS CORP,2010,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,25846.1037,Big,65b29b05331a5ece70dd9a954cbe98f7
81,1380,HES,268.325,0.186,0.0,119.0,149.139,0.0,SP,42809H10,HESS CORP,2011,2010,2807.7039999999997,40.454,0.0,1268.5,1498.75,0.0,19310.6368,Big,5780b62386b54e47779fd3d9c29499bd
