,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,SIZE_CATEGORY,signature_index
82,1380,HES,CEO,1500.0,0.0,8514.673,0.0,19.95,1500.0,58.0,10034.623,2012,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,18087.3229,Tiny,13d8ddcdfbc8f507d5fc563ca3a84667
83,1380,HES,CEO,1500.0,1516.667,8511.308,0.0,20.349,3016.667,59.0,13826.574,2013,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,27001.062,Tiny,55c15141b322be5e2fab968a012467a2
84,1380,HES,CEO,1500.0,0.0,7819.982,1954.997,20.748,1500.0,60.0,14333.227,2014,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,21100.3397,Tiny,6be9194cfa001c44448c03a0afae4e95
85,1380,HES,CEO,1500.0,0.0,7600.04,1899.996,21.147,1500.0,61.0,12933.682,2015,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,13867.5101,Tiny,a48f095227a1a0c27f45746278441764
86,1380,HES,CEO,1500.0,0.0,5655.989,2423.997,21.546,1500.0,62.0,11705.332,2016,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,19716.2177,Tiny,4d109f9358941d0bd22aa21446af44b2
87,1380,HES,CEO,1500.0,0.0,5985.021,2565.005,21.546,1500.0,63.0,12764.872,2017,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,14955.6134,Tiny,6cb31b232045ec2f74b767825b41254b
88,1380,HES,CEO,1500.0,0.0,4499.996,2999.999,21.945,1500.0,64.0,12572.44,2018,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,11803.1175,Tiny,a898ecd0ab7dc5af183f926ac9936e2e
89,1380,HES,CEO,1500.0,0.0,4499.973,2999.996,22.344,1500.0,65.0,12302.813,2019,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,20374.0436,Tiny,53603b63c7676f92664ffadc4ee29efb
90,1440,AEP,CEO,1270.442,0.0,5321.15,0.0,512.969,1270.442,63.0,8684.346,2010,2004-01-01,,2011-11-11,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,17299.4359,Tiny,aebbb181e24fe95dd3840058a5ea2026
91,1440,AEP,CEO,1305.48,0.0,5313.0,0.0,591.087,1305.48,64.0,8709.567,2011,2004-01-01,,2011-11-11,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,19970.2041,Tiny,1825138d66af6c6895251e6deb2b3cda
92,1440,AEP,CEO,903.461,0.0,4600.008,0.0,106.709,903.461,52.0,7110.178,2012,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,20728.3102,Tiny,ac60571c45c5923d06efa90679016655
93,1440,AEP,CEO,1204.615,0.0,6720.167,0.0,102.065,1204.615,53.0,10456.847,2013,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,22798.697,Tiny,27926df40c2894ea328a93e14735d3d5
94,1440,AEP,CEO,1240.754,0.0,6720.019,0.0,102.96,1240.754,54.0,11013.733,2014,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,29716.4894,Tiny,047bb36a65079e5a4cb4222abb1c0966
95,1440,AEP,CEO,1279.9,0.0,6719.981,0.0,103.658,1279.9,55.0,11253.539,2015,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,28613.6583,Tiny,f84c96579fba6130e330eb8aaef6644a
96,1440,AEP,CEO,1325.077,0.0,6720.027,0.0,103.687,1325.077,56.0,11148.791,2016,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,30958.1875,Tiny,b82fd4b9d55c0c0a736afe5dcc292efc
97,1440,AEP,CEO,1375.0,0.0,7983.42,0.0,111.04,1375.0,57.0,11169.46,2017,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,36196.8814,Tiny,d9f28c4162ed9e9f198abb6ad9c6124b
98,1440,AEP,CEO,1415.423,0.0,7564.313,0.0,114.891,1415.423,58.0,11994.627,2018,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,36865.206,Tiny,3d85f1e354a20e3c5f4d767cb98dd96a
99,1440,AEP,CEO,1475.654,0.0,8775.003,0.0,111.628,1475.654,59.0,13962.285,2019,2011-11-12,,,MALE,02553710,"Electric Power Generation, Transmission and Distri",4911,46703.9122,Tiny,1829aec8c9701221834baa27c3e4258c
100,1447,AXP,CEO,1942.308,2000.0,2049.971,9164.925,1095.647,3942.308,58.0,16252.851,2010,2001-01-01,,2018-02-01,MALE,02581610,Credit Card Issuing,6141,51375.24,Tiny,ad0ebe52e83a596200bff073a065708d
101,1447,AXP,CEO,1942.308,2000.0,2049.971,9164.925,1095.647,3942.308,58.0,16252.851,2010,2001-01-01,,2018-02-01,MALE,02581610,Credit Card Issuing,6141,51375.24,Tiny,79fa1cdd02a0e181141bd7fe6cf9ab0d
