Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
1774,8530,PFE,CEO,1600.0,0.0,4290.956,6075.29,606.269,1600.0,57.0,16202.515,2019,2019-01-01,,,MALE,71708110,Pharmaceutical Preparation Manufacturing,2834,216822.12,Large,006b43b0c6e6426b549f4239d74b76ef
1808,8762,PG,CEO,1600.0,3313.6,6446.532,4235.006,332.877,4913.6,60.0,15928.015,2013,2009-07-01,,2013-05-23,MALE,74271810,Soap and Other Detergent Manufacturing,2840,211131.7557,Large,1e7a2a40025147dd87c06894617a3939
1809,8762,PG,CEO,2000.0,4400.0,12230.582,0.0,873.771,6400.0,66.0,19504.353,2014,2000-01-01,,2015-11-01,MALE,74271810,Soap and Other Detergent Manufacturing,2840,213042.2435,Large,5106ff35265d286a982047fc7fe7ca00
1810,8762,PG,CEO,2000.0,3290.0,12407.79,0.0,588.831,5290.0,67.0,18286.621,2015,2000-01-01,,2015-11-01,MALE,74271810,Soap and Other Detergent Manufacturing,2840,212388.035,Large,e963983ed6ad41d08972a27f4cf773ef
1811,8762,PG,CEO,1393.333,2482.771,8507.68,1743.864,277.005,3876.104,58.0,14971.286,2016,2015-11-01,,2021-11-01,MALE,74271810,Soap and Other Detergent Manufacturing,2840,225905.8256,Large,8f9c30a32be807237107daec199d79b9
1812,8762,PG,CEO,1600.0,4080.384,9226.929,3000.001,188.863,5680.384,59.0,19205.056,2017,2015-11-01,,2021-11-01,MALE,74271810,Soap and Other Detergent Manufacturing,2840,222519.8336,Large,fe8f1c036aa76d6a5d96e54f82b103d4
1814,8762,PG,CEO,1650.0,5409.4,9768.118,3251.263,420.031,7059.4,61.0,22140.414,2019,2015-11-01,,2021-11-01,MALE,74271810,Soap and Other Detergent Manufacturing,2840,274645.9472,Large,fbf6e7569ab170804c079037d28153ec
1978,9899,T,CEO,1741.667,0.0,14623.014,0.0,553.095,1741.667,54.0,22588.045,2015,2007-06-04,1982-01-01,2020-06-30,MALE,00206R10,Wireless Telecommunications Carriers (except Satel,4812,211447.3854,Large,110a0ef2ca0654bda4ad5c28b0980b68
1979,9899,T,CEO,1791.667,0.0,16063.344,0.0,1404.401,1791.667,55.0,24959.412,2016,2007-06-04,1982-01-01,2020-06-30,MALE,00206R10,Wireless Telecommunications Carriers (except Satel,4812,261091.4148,Large,3214c730421dce85dc507f80ab25e13e
1980,9899,T,CEO,1800.0,0.0,16699.98,0.0,1490.681,1800.0,56.0,25300.661,2017,2007-06-04,1982-01-01,2020-06-30,MALE,00206R10,Wireless Telecommunications Carriers (except Satel,4812,238700.844,Large,a844e4ba78125c426562b0c659a35aec
1981,9899,T,CEO,1800.0,0.0,17069.774,0.0,1538.538,1800.0,57.0,25731.455,2018,2007-06-04,1982-01-01,2020-06-30,MALE,00206R10,Wireless Telecommunications Carriers (except Satel,4812,207817.6917,Large,f85ed8442d206aadcc2d2dcc3f9af355
1982,9899,T,CEO,1800.0,0.0,19800.007,0.0,1563.722,1800.0,58.0,28443.729,2019,2007-06-04,1982-01-01,2020-06-30,MALE,00206R10,Wireless Telecommunications Carriers (except Satel,4812,283508.0094,Large,d89d49afd3206b71726a150fec07c10d
2161,10903,UNH,CEO,1300.0,0.0,8325.394,2775.032,316.33,1300.0,55.0,18107.356,2018,2017-09-01,,2021-02-02,MALE,91324P10,Direct Health and Medical Insurance Carriers,6324,239155.2,Large,c8e0374b0203ab480814f96c6575fc8b
2213,11259,WMT,CEO,1264.775,0.0,13066.877,0.0,377.258,1264.775,62.0,18131.738,2011,2009-02-01,1995-01-01,2014-02-01,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,209728.48,Large,b1e3fc465f8ccd24a6d3056f76239062
2214,11259,WMT,CEO,1315.731,0.0,13649.52,0.0,644.45,1315.731,63.0,20693.544,2012,2009-02-01,1995-01-01,2014-02-01,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,231814.3,Large,26c90c9a78600da1e3d0c3373a6575f5
2215,11259,WMT,CEO,1366.593,0.0,0.0,0.0,490.09,1366.593,64.0,5643.677,2013,2009-02-01,1995-01-01,2014-02-01,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,241440.44,Large,b98a3a94cc808792d180549240d568bc
2216,11259,WMT,CEO,1200.93,0.0,14597.374,0.0,393.673,1200.93,49.0,19392.608,2014,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,274315.44,Large,38e3228750c577469b374bbe0c664f78
2217,11259,WMT,CEO,1263.231,0.0,14270.786,0.0,463.054,1263.231,50.0,19808.797,2015,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,209830.32,Large,3c48d9e3c242c504164f5a43d987aee5
2218,11259,WMT,CEO,1278.989,0.0,15224.706,0.0,486.732,1278.989,51.0,22352.143,2016,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,203423.52,Large,c26caf8b156f04647d42eafc3949af78
2219,11259,WMT,CEO,1276.982,0.0,15692.464,0.0,473.765,1276.982,52.0,22791.276,2017,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,314683.2,Large,83b5da283da80d8cbcace04c239554c3
2220,11259,WMT,CEO,1276.892,0.0,15592.404,0.0,569.953,1276.892,53.0,23618.233,2018,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,275798.74,Large,d34a55edc5f80318a1be0939c4d62aaa
2221,11259,WMT,CEO,1276.892,0.0,15709.953,0.0,410.091,1276.892,54.0,22105.35,2019,2014-02-01,1990-01-01,,MALE,93114210,All Other General Merchandise Stores (eff from 6/3,5331,324292.1236,Large,5379b245f9bcc1cee26fc9cc8bd1e0ab
2363,12141,MSFT,CEO,682.5,682.5,0.0,0.0,11.915,1365.0,55.0,1376.915,2011,2000-01-01,,2014-02-04,MALE,59491810,Software Publishers,7372,217776.0,Large,a89b4b0c3049aa5b6b04d08b6af782a0
2364,12141,MSFT,CEO,685.0,620.0,0.0,0.0,13.128,1305.0,56.0,1318.128,2012,2000-01-01,,2014-02-04,MALE,59491810,Software Publishers,7372,256374.79,Large,17106a111d62dcf22c4ce326a2003548
2365,12141,MSFT,CEO,697.5,550.0,0.0,0.0,13.718,1247.5,57.0,1261.218,2013,2000-01-01,,2014-02-04,MALE,59491810,Software Publishers,7372,287690.76,Large,1051d3d85f739a59e8f6945e799eef80
2366,12141,MSFT,CEO,417.083,0.0,0.0,0.0,66.501,417.083,58.0,520.042,2014,2000-01-01,,2014-02-04,MALE,59491810,Software Publishers,7372,343566.3,Large,06ffec5e175d32a209d8f0f16ee541d1
